,date,meantempi,mintempi,maxtempi,datenumber
0,2017-01-01,32,21,42,736330.0
1,2017-01-02,34,24,44,736331.0
2,2017-01-03,36,35,37,736332.0
3,2017-01-04,17,15,19,736333.0
4,2017-01-05,10,7,14,736334.0
5,2017-01-06,9,3,15,736335.0
6,2017-01-07,8,3,14,736336.0
7,2017-01-08,12,6,17,736337.0
8,2017-01-09,21,15,27,736338.0
9,2017-01-10,37,26,47,736339.0
10,2017-01-11,38,27,48,736340.0
11,2017-01-12,31,24,37,736341.0
12,2017-01-13,21,17,24,736342.0
13,2017-01-14,25,20,30,736343.0
14,2017-01-15,25,15,35,736344.0
15,2017-01-16,28,21,34,736345.0
16,2017-01-17,36,33,39,736346.0
17,2017-01-18,36,33,39,736347.0
18,2017-01-19,37,33,41,736348.0
19,2017-01-20,37,34,39,736349.0
20,2017-01-21,47,37,56,736350.0
21,2017-01-22,43,37,48,736351.0
22,2017-01-23,39,37,41,736352.0
23,2017-01-24,38,37,39,736353.0
24,2017-01-25,38,35,40,736354.0
25,2017-01-26,35,32,38,736355.0
26,2017-01-27,30,27,32,736356.0
27,2017-01-28,28,27,29,736357.0
28,2017-01-29,22,16,28,736358.0
29,2017-01-30,18,11,25,736359.0
30,2017-01-31,28,23,32,736360.0
31,2017-02-01,30,25,35,736361.0
32,2017-02-02,17,9,25,736362.0
33,2017-02-03,17,11,22,736363.0
34,2017-02-04,19,9,29,736364.0
35,2017-02-05,28,20,35,736365.0
36,2017-02-06,31,18,44,736366.0
37,2017-02-07,40,34,45,736367.0
38,2017-02-08,28,20,35,736368.0
39,2017-02-09,17,13,20,736369.0
40,2017-02-10,25,14,36,736370.0
41,2017-02-11,40,35,45,736371.0
42,2017-02-12,37,32,41,736372.0
43,2017-02-13,35,26,43,736373.0
44,2017-02-14,38,31,45,736374.0
45,2017-02-15,28,24,32,736375.0
46,2017-02-16,28,24,32,736376.0
47,2017-02-17,40,28,52,736377.0
48,2017-02-18,54,43,65,736378.0
49,2017-02-19,49,36,62,736379.0
50,2017-02-20,45,31,59,736380.0
51,2017-02-21,52,42,61,736381.0
52,2017-02-22,52,41,62,736382.0
53,2017-02-23,50,42,58,736383.0
54,2017-02-24,48,37,58,736384.0
55,2017-02-25,32,22,42,736385.0
56,2017-02-26,32,21,42,736386.0
57,2017-02-27,40,28,51,736387.0
58,2017-02-28,48,39,56,736388.0
59,2017-03-01,41,25,56,736389.0
60,2017-03-02,27,22,31,736390.0
61,2017-03-03,23,17,29,736391.0
62,2017-03-04,24,13,34,736392.0
63,2017-03-05,35,23,47,736393.0
64,2017-03-06,51,43,58,736394.0
65,2017-03-07,49,39,59,736395.0
66,2017-03-08,42,37,47,736396.0
67,2017-03-09,36,31,41,736397.0
68,2017-03-10,22,13,31,736398.0
69,2017-03-11,21,12,29,736399.0
70,2017-03-12,22,12,31,736400.0
71,2017-03-13,23,18,27,736401.0
72,2017-03-14,19,13,24,736402.0
73,2017-03-15,23,13,33,736403.0
74,2017-03-16,28,15,40,736404.0
75,2017-03-17,28,20,35,736405.0
76,2017-03-18,36,33,39,736406.0
77,2017-03-19,41,34,48,736407.0
78,2017-03-20,45,35,55,736408.0
79,2017-03-21,39,23,54,736409.0
80,2017-03-22,27,17,36,736410.0
81,2017-03-23,35,22,47,736411.0
82,2017-03-24,55,36,74,736412.0
83,2017-03-25,40,37,43,736413.0
84,2017-03-26,48,40,55,736414.0
85,2017-03-27,51,45,57,736415.0
86,2017-03-28,43,36,50,736416.0
87,2017-03-29,42,29,54,736417.0
88,2017-03-30,38,36,40,736418.0
89,2017-03-31,37,35,39,736419.0
90,2017-04-01,45,32,58,736420.0
91,2017-04-02,46,32,60,736421.0
92,2017-04-03,50,47,53,736422.0
93,2017-04-04,48,41,55,736423.0
94,2017-04-05,40,36,44,736424.0
95,2017-04-06,36,33,39,736425.0
96,2017-04-07,43,33,53,736426.0
97,2017-04-08,45,29,61,736427.0
98,2017-04-09,63,50,75,736428.0
99,2017-04-10,66,56,76,736429.0
100,2017-04-11,50,43,57,736430.0
101,2017-04-12,51,42,59,736431.0
102,2017-04-13,46,43,49,736432.0
103,2017-04-14,53,40,66,736433.0
104,2017-04-15,66,49,83,736434.0
105,2017-04-16,61,53,69,736435.0
106,2017-04-17,54,41,67,736436.0
107,2017-04-18,54,37,70,736437.0
108,2017-04-19,63,51,74,736438.0
109,2017-04-20,57,47,67,736439.0
110,2017-04-21,48,44,52,736440.0
111,2017-04-22,49,36,61,736441.0
112,2017-04-23,53,35,70,736442.0
113,2017-04-24,55,37,72,736443.0
114,2017-04-25,63,52,73,736444.0
115,2017-04-26,71,59,82,736445.0
116,2017-04-27,59,48,70,736446.0
117,2017-04-28,55,45,64,736447.0
118,2017-04-29,50,43,57,736448.0
119,2017-04-30,44,40,48,736449.0
120,2017-05-01,55,43,67,736450.0
121,2017-05-02,45,39,50,736451.0
122,2017-05-03,48,35,61,736452.0
123,2017-05-04,47,43,50,736453.0
124,2017-05-05,50,41,58,736454.0
125,2017-05-06,50,38,61,736455.0
126,2017-05-07,45,33,56,736456.0
127,2017-05-08,44,28,59,736457.0
128,2017-05-09,48,29,66,736458.0
129,2017-05-10,58,46,70,736459.0
130,2017-05-11,57,47,66,736460.0
131,2017-05-12,55,41,69,736461.0
132,2017-05-13,61,47,74,736462.0
133,2017-05-14,61,50,71,736463.0
134,2017-05-15,60,45,75,736464.0
135,2017-05-16,70,53,87,736465.0
136,2017-05-17,78,69,87,736466.0
137,2017-05-18,67,50,84,736467.0
138,2017-05-19,48,43,53,736468.0
139,2017-05-20,55,45,65,736469.0
140,2017-05-21,64,53,75,736470.0
141,2017-05-22,59,49,69,736471.0
142,2017-05-23,63,57,69,736472.0
143,2017-05-24,62,54,69,736473.0
144,2017-05-25,61,57,64,736474.0
145,2017-05-26,63,55,71,736475.0
146,2017-05-27,65,53,77,736476.0
147,2017-05-28,70,57,82,736477.0
148,2017-05-29,67,54,79,736478.0
149,2017-05-30,62,51,72,736479.0
150,2017-05-31,59,48,70,736480.0
151,2017-06-01,62,48,76,736481.0
152,2017-06-02,65,47,83,736482.0
153,2017-06-03,69,52,86,736483.0
154,2017-06-04,76,63,88,736484.0
155,2017-06-05,63,51,74,736485.0
156,2017-06-06,63,49,76,736486.0
157,2017-06-07,65,51,78,736487.0
158,2017-06-08,67,50,83,736488.0
159,2017-06-09,73,60,85,736489.0
160,2017-06-10,75,59,90,736490.0
161,2017-06-11,82,71,93,736491.0
162,2017-06-12,84,72,95,736492.0
163,2017-06-13,82,72,92,736493.0
164,2017-06-14,80,69,90,736494.0
165,2017-06-15,79,68,89,736495.0
166,2017-06-16,76,67,84,736496.0
167,2017-06-17,79,69,88,736497.0
168,2017-06-18,74,65,82,736498.0
169,2017-06-19,69,60,78,736499.0
170,2017-06-20,67,55,78,736500.0
171,2017-06-21,66,51,80,736501.0
172,2017-06-22,76,62,90,736502.0
173,2017-06-23,74,67,80,736503.0
174,2017-06-24,68,59,77,736504.0
175,2017-06-25,64,56,72,736505.0
176,2017-06-26,62,52,71,736506.0
177,2017-06-27,63,50,75,736507.0
178,2017-06-28,66,52,79,736508.0
179,2017-06-29,76,65,86,736509.0
180,2017-06-30,77,68,85,736510.0
181,2017-07-01,76,67,84,736511.0
182,2017-07-02,73,63,83,736512.0
183,2017-07-03,73,63,83,736513.0
184,2017-07-04,72,59,85,736514.0
185,2017-07-05,74,59,88,736515.0
186,2017-07-06,78,63,92,736516.0
187,2017-07-07,78,67,88,736517.0
188,2017-07-08,71,62,80,736518.0
189,2017-07-09,71,57,84,736519.0
190,2017-07-10,74,69,79,736520.0
191,2017-07-11,78,66,90,736521.0
192,2017-07-12,78,71,85,736522.0
193,2017-07-13,78,72,84,736523.0
194,2017-07-14,73,65,81,736524.0
195,2017-07-15,71,59,82,736525.0
196,2017-07-16,73,64,82,736526.0
197,2017-07-17,71,58,83,736527.0
198,2017-07-18,75,63,86,736528.0
199,2017-07-19,78,67,88,736529.0
200,2017-07-20,78,71,85,736530.0
201,2017-07-21,76,64,87,736531.0
202,2017-07-22,76,68,84,736532.0
203,2017-07-23,75,65,85,736533.0
204,2017-07-24,68,60,76,736534.0
205,2017-07-25,67,52,81,736535.0
206,2017-07-26,73,62,83,736536.0
207,2017-07-27,74,64,83,736537.0
208,2017-07-28,67,55,79,736538.0
209,2017-07-29,67,51,82,736539.0
210,2017-07-30,70,54,85,736540.0
211,2017-07-31,72,57,86,736541.0
212,2017-08-01,72,57,87,736542.0
213,2017-08-02,77,65,88,736543.0
214,2017-08-03,73,60,85,736544.0
215,2017-08-04,63,58,68,736545.0
216,2017-08-05,65,53,76,736546.0
217,2017-08-06,67,56,77,736547.0
218,2017-08-07,68,59,77,736548.0
219,2017-08-08,67,51,82,736549.0
220,2017-08-09,71,58,84,736550.0
221,2017-08-10,71,59,83,736551.0
222,2017-08-11,71,62,80,736552.0
223,2017-08-12,68,59,76,736553.0
224,2017-08-13,67,54,79,736554.0
225,2017-08-14,73,63,82,736555.0
226,2017-08-15,73,63,82,736556.0
227,2017-08-16,74,62,85,736557.0
228,2017-08-17,77,69,84,736558.0
229,2017-08-18,69,63,74,736559.0
230,2017-08-19,71,61,80,736560.0
231,2017-08-20,71,56,86,736561.0
232,2017-08-21,78,67,88,736562.0
233,2017-08-22,69,59,78,736563.0
234,2017-08-23,63,51,74,736564.0
235,2017-08-24,57,47,67,736565.0
236,2017-08-25,58,44,72,736566.0
237,2017-08-26,62,48,75,736567.0
238,2017-08-27,68,59,77,736568.0
239,2017-08-28,63,55,70,736569.0
240,2017-08-29,66,54,77,736570.0
241,2017-08-30,68,54,81,736571.0
242,2017-08-31,60,48,72,736572.0
243,2017-09-01,56,43,69,736573.0
244,2017-09-02,61,43,78,736574.0
245,2017-09-03,68,55,80,736575.0
246,2017-09-04,70,55,85,736576.0
247,2017-09-05,60,48,71,736577.0
248,2017-09-06,55,43,67,736578.0
249,2017-09-07,56,46,65,736579.0
250,2017-09-08,58,47,68,736580.0
251,2017-09-09,53,39,67,736581.0
252,2017-09-10,55,39,71,736582.0
253,2017-09-11,59,43,75,736583.0
254,2017-09-12,62,45,79,736584.0
255,2017-09-13,65,51,79,736585.0
256,2017-09-14,67,52,81,736586.0
257,2017-09-15,68,55,81,736587.0
258,2017-09-16,72,59,84,736588.0
259,2017-09-17,75,62,88,736589.0
260,2017-09-18,69,58,79,736590.0
261,2017-09-19,64,56,72,736591.0
262,2017-09-20,77,66,87,736592.0
263,2017-09-21,81,66,95,736593.0
264,2017-09-22,80,65,94,736594.0
265,2017-09-23,79,64,93,736595.0
266,2017-09-24,77,62,92,736596.0
267,2017-09-25,79,65,92,736597.0
268,2017-09-26,78,63,92,736598.0
269,2017-09-27,64,53,74,736599.0
270,2017-09-28,59,47,70,736600.0
271,2017-09-29,58,47,69,736601.0
272,2017-09-30,52,39,65,736602.0
273,2017-10-01,55,39,70,736603.0
274,2017-10-02,62,45,79,736604.0
275,2017-10-03,71,56,85,736605.0
276,2017-10-04,62,50,73,736606.0
277,2017-10-05,61,46,75,736607.0
278,2017-10-06,59,53,65,736608.0
279,2017-10-07,72,61,82,736609.0
280,2017-10-08,67,55,78,736610.0
281,2017-10-09,66,53,79,736611.0
282,2017-10-10,59,51,67,736612.0
283,2017-10-11,53,51,55,736613.0
284,2017-10-12,54,49,59,736614.0
285,2017-10-13,64,57,70,736615.0
286,2017-10-14,60,57,63,736616.0
287,2017-10-15,55,42,67,736617.0
288,2017-10-16,48,39,57,736618.0
289,2017-10-17,57,43,70,736619.0
290,2017-10-18,59,48,69,736620.0
291,2017-10-19,57,46,68,736621.0
292,2017-10-20,58,39,76,736622.0
293,2017-10-21,65,54,76,736623.0
294,2017-10-22,67,57,77,736624.0
295,2017-10-23,58,48,68,736625.0
296,2017-10-24,45,40,50,736626.0
297,2017-10-25,43,33,52,736627.0
298,2017-10-26,41,28,53,736628.0
299,2017-10-27,44,38,50,736629.0
300,2017-10-28,39,35,43,736630.0
301,2017-10-29,42,35,48,736631.0
302,2017-10-30,40,35,45,736632.0
303,2017-10-31,36,32,40,736633.0
304,2017-11-01,38,33,42,736634.0
305,2017-11-02,46,40,51,736635.0
306,2017-11-03,43,36,49,736636.0
307,2017-11-04,41,34,47,736637.0
308,2017-11-05,52,45,58,736638.0
309,2017-11-06,40,34,46,736639.0
310,2017-11-07,38,28,47,736640.0
311,2017-11-08,36,25,47,736641.0
312,2017-11-09,32,21,42,736642.0
313,2017-11-10,20,15,25,736643.0
314,2017-11-11,26,17,34,736644.0
315,2017-11-12,36,32,39,736645.0
316,2017-11-13,37,31,43,736646.0
317,2017-11-14,38,28,48,736647.0
318,2017-11-15,43,39,46,736648.0
319,2017-11-16,34,26,41,736649.0
320,2017-11-17,35,26,43,736650.0
321,2017-11-18,39,33,44,736651.0
322,2017-11-19,33,28,38,736652.0
323,2017-11-20,39,28,49,736653.0
324,2017-11-21,41,32,50,736654.0
325,2017-11-22,30,27,33,736655.0
326,2017-11-23,36,29,42,736656.0
327,2017-11-24,45,32,57,736657.0
328,2017-11-25,41,30,51,736658.0
329,2017-11-26,34,22,45,736659.0
330,2017-11-27,37,26,48,736660.0
331,2017-11-28,52,41,63,736661.0
332,2017-11-29,38,29,46,736662.0
333,2017-11-30,40,32,48,736663.0
334,2017-12-01,36,23,48,736664.0
335,2017-12-02,42,31,52,736665.0
336,2017-12-03,40,27,53,736666.0
337,2017-12-04,51,42,60,736667.0
338,2017-12-05,45,29,60,736668.0
339,2017-12-06,30,24,36,736669.0
340,2017-12-07,25,22,28,736670.0
341,2017-12-08,25,19,31,736671.0
342,2017-12-09,24,19,29,736672.0
343,2017-12-10,24,21,26,736673.0
344,2017-12-11,25,20,30,736674.0
345,2017-12-12,22,13,30,736675.0
346,2017-12-13,17,14,20,736676.0
347,2017-12-14,12,0,24,736677.0
348,2017-12-15,22,19,25,736678.0
349,2017-12-16,22,16,27,736679.0
350,2017-12-17,24,15,33,736680.0
351,2017-12-18,37,33,41,736681.0
352,2017-12-19,40,35,45,736682.0
353,2017-12-20,29,23,35,736683.0
354,2017-12-21,31,27,34,736684.0
355,2017-12-22,33,30,35,736685.0
356,2017-12-23,28,21,35,736686.0
357,2017-12-24,20,17,22,736687.0
358,2017-12-25,14,6,21,736688.0
359,2017-12-26,3,-5,11,736689.0
360,2017-12-27,4,-4,11,736690.0
361,2017-12-28,2,-9,12,736691.0
362,2017-12-29,13,8,17,736692.0
363,2017-12-30,7,0,13,736693.0
364,2017-12-31,5,-3,13,736694.0
